model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
distiluse-base;open;1NN;54087;0.6957780179067613;69.57780179067613;69.58
distiluse-base;source;1NN;53432;0.6873520633940516;68.73520633940517;68.74
distiluse-base;title;1NN;34303;0.4412755994648554;44.12755994648554;44.13
distiluse-base-v2;open;1NN;54087;0.6957780179067613;69.57780179067613;69.58
distiluse-base-v2;source;1NN;53432;0.6873520633940516;68.73520633940517;68.74
distiluse-base-v2;title;1NN;34303;0.4412755994648554;44.12755994648554;44.13
LASER;open;1NN;26329;0.33869764330554697;33.869764330554695;33.87
LASER;source;1NN;9448;0.12153956982607801;12.1539569826078;12.15
LASER;title;1NN;39145;0.5035633425954513;50.356334259545136;50.36
paraphrase-MiniLM-L12;open;1NN;3628;0.04667078316352784;4.667078316352784;4.67
paraphrase-MiniLM-L12;source;1NN;3364;0.04327467325306165;4.327467325306165;4.33
paraphrase-MiniLM-L12;title;1NN;25;0.0003216013172789956;0.03216013172789956;0.03
paraphrase-mpnet;open;1NN;39492;0.5080271688792837;50.80271688792837;50.8
paraphrase-mpnet;source;1NN;37333;0.4802536791190697;48.02536791190697;48.03
paraphrase-mpnet;title;1NN;1276;0.016414531233919935;1.6414531233919936;1.64
SONAR;open;1NN;41134;0.5291499433981681;52.914994339816815;52.91
SONAR;source;1NN;35417;0.4556061541628075;45.56061541628075;45.56
SONAR;title;1NN;48357;0.6220669959864156;62.206699598641556;62.21
